symbol,test,K,n_events,p_cond,p_uncond,lift,mean_pnl_bps,uncond_mean_bps,tstat
XRPUSDT,propagation,15,4859,1.0,0.999969181459566,1.0000308194902456,,,
XRPUSDT,propagation,30,4859,1.0,0.999969181459566,1.0000308194902456,,,
XRPUSDT,tradeable_momentum,5,4859,,,,-1.3764524268930682,0.5557669610632655,-1.3768208495631324
XRPUSDT,tradeable_momentum,15,4859,,,,-1.2034464893125831,0.6116908266081515,-0.748391211778904
XRPUSDT,tradeable_momentum,30,4859,,,,0.34457796442261485,0.9134517544735524,0.16185477307035248
DOGEUSDT,propagation,5,2967,1.0,0.9999691396123935,1.0000308613399993,,,
DOGEUSDT,propagation,15,2967,1.0,0.9999691396123935,1.0000308613399993,,,
DOGEUSDT,propagation,30,2967,1.0,0.9999691396123935,1.0000308613399993,,,
DOGEUSDT,tradeable_momentum,5,2967,,,,10.375847185889885,1.5340872786319797,9.44670553880063
DOGEUSDT,tradeable_momentum,15,2967,,,,15.717599029259254,2.24719181707336,10.007834612513044
DOGEUSDT,tradeable_momentum,30,2967,,,,17.592072394985735,2.6781235991613697,7.072255983838543
ADAUSDT,propagation,5,2018,1.0,0.9999690785405071,1.0000309224156592,,,
ADAUSDT,propagation,15,2018,1.0,0.9999690785405071,1.0000309224156592,,,
ADAUSDT,propagation,30,2018,1.0,0.9999690785405071,1.0000309224156592,,,
ADAUSDT,tradeable_momentum,5,2018,,,,9.06067230746288,1.3026729315568326,6.938314984193838
ADAUSDT,tradeable_momentum,15,2018,,,,11.74504088120816,2.016198693640296,6.121944062017303
ADAUSDT,tradeable_momentum,30,2018,,,,12.486585178153858,2.2610170249834223,3.782814354142292
AVAXUSDT,propagation,5,32258,0.9999689999379999,0.9999689999379999,1.0,,,
AVAXUSDT,propagation,15,32258,0.9999689999379999,0.9999689999379999,1.0,,,
AVAXUSDT,propagation,30,32258,0.9999689999379999,0.9999689999379999,1.0,,,
AVAXUSDT,tradeable_momentum,5,32253,,,,0.4498821830186773,0.4498821830186773,5.052223677298144
AVAXUSDT,tradeable_momentum,15,32243,,,,1.1837921773137552,1.1837921773137552,8.391674721907409
AVAXUSDT,tradeable_momentum,30,32228,,,,1.1606684599265398,1.1606684599265398,5.696041412576036
LINKUSDT,propagation,5,32253,0.9999689951322358,0.9999689951322358,1.0,,,
LINKUSDT,propagation,15,32253,0.9999689951322358,0.9999689951322358,1.0,,,
LINKUSDT,propagation,30,32253,0.9999689951322358,0.9999689951322358,1.0,,,
LINKUSDT,tradeable_momentum,5,32248,,,,0.8002273131919925,0.8002273131919925,10.839228721773958
LINKUSDT,tradeable_momentum,15,32238,,,,1.5096035464649444,1.5096035464649444,10.564826870610144
LINKUSDT,tradeable_momentum,30,32223,,,,2.330838226136418,2.330838226136418,11.137634197680287
LTCUSDT,propagation,5,32427,0.9999691615012182,0.9999691615012182,1.0,,,
LTCUSDT,propagation,15,32427,0.9999691615012182,0.9999691615012182,1.0,,,
LTCUSDT,propagation,30,32427,0.9999691615012182,0.9999691615012182,1.0,,,
LTCUSDT,tradeable_momentum,5,32422,,,,0.43273265658075327,0.43273265658075327,6.698755489235776
LTCUSDT,tradeable_momentum,15,32412,,,,0.593700279838929,0.593700279838929,5.67396641466605
LTCUSDT,tradeable_momentum,30,32397,,,,0.44493534362994835,0.44493534362994835,3.0087401676043264
TRXUSDT,propagation,5,31654,0.999968408415998,0.999968408415998,1.0,,,
TRXUSDT,propagation,15,31654,0.999968408415998,0.999968408415998,1.0,,,
TRXUSDT,propagation,30,31654,0.999968408415998,0.999968408415998,1.0,,,
TRXUSDT,tradeable_momentum,5,31649,,,,0.08482838515333894,0.08482838515333894,3.948751011926673
TRXUSDT,tradeable_momentum,15,31639,,,,0.16389135912024536,0.16389135912024536,6.417330977187956
TRXUSDT,tradeable_momentum,30,31624,,,,0.2175064097631142,0.2175064097631142,5.115979004249931
DOTUSDT,propagation,5,32380,0.9999691167387276,0.9999691167387276,1.0,,,
DOTUSDT,propagation,15,32380,0.9999691167387276,0.9999691167387276,1.0,,,
DOTUSDT,propagation,30,32380,0.9999691167387276,0.9999691167387276,1.0,,,
DOTUSDT,tradeable_momentum,5,32375,,,,0.555828583888271,0.555828583888271,8.45533873508408
DOTUSDT,tradeable_momentum,15,32365,,,,1.0748428735795252,1.0748428735795252,12.041160385498593
DOTUSDT,tradeable_momentum,30,32350,,,,1.2232187761954232,1.2232187761954232,7.27018796939855
