symbol,horizon,uncond_mean_bps,uncond_std_bps,settle_mean_bps,settle_n,hi_extreme_mean_bps,hi_extreme_n,lo_extreme_mean_bps,lo_extreme_n,pnl_hi_short_bps,pnl_lo_long_bps
AVAXUSDT,1h,-0.15458306515529902,97.48248818047676,-1.5438363003307891,3924,-1.005703531160074,735,1.739962404617041,440,1.005703531160074,1.739962404617041
AVAXUSDT,4h,-0.6647139996492997,190.85831374662135,-1.201664237436854,3924,3.2215370971257467,735,1.406400521625954,440,-3.2215370971257467,1.406400521625954
LINKUSDT,15m,0.03833874000244477,48.39000792620355,-0.7086965374658464,3924,-0.680744494930576,1568,0.8798044963093209,448,0.680744494930576,0.8798044963093209
LINKUSDT,1h,0.14613994584733261,92.61405240577542,-2.0639966573854753,3924,-2.258424576204488,1568,-0.4762873058120412,448,2.258424576204488,-0.4762873058120412
LINKUSDT,4h,0.5130745063288676,179.96975501340646,-1.4859943621422673,3924,-4.417965335721972,1568,0.5181662157268981,448,4.417965335721972,0.5181662157268981
DOTUSDT,15m,-0.1350242943723931,50.17607048860609,-0.44039550676617684,3924,2.422952409588173,820,0.3950895796664048,405,-2.422952409588173,0.3950895796664048
DOTUSDT,1h,-0.5382073576210235,91.71897424682123,-1.8705537544284265,3924,-0.5688417381961142,820,-4.3048551657010306,405,0.5688417381961142,-4.3048551657010306
DOTUSDT,4h,-2.191578027755395,175.84028705322967,-3.462058685526195,3924,9.772871065720897,820,-2.7007651588265063,405,-9.772871065720897,-2.7007651588265063
LTCUSDT,15m,-0.035035385570578954,42.32656736809644,-0.16250625058706136,3924,-0.60891130093009,1257,0.11317520567048715,459,0.60891130093009,0.11317520567048715
LTCUSDT,1h,-0.16743958429049147,81.12768393791838,2.034637252846981,3924,3.6083961597513246,1257,2.259561891418232,459,-3.6083961597513246,2.259561891418232
LTCUSDT,4h,-0.5769000402024371,157.37148985976162,0.3002145017761845,3924,0.07785276879356233,1257,-4.996436314886164,459,-0.07785276879356233,-4.996436314886164
MATICUSDT,15m,-0.10038681379800836,43.236095312441805,-1.3504206768643838,1859,-2.4270240047580764,343,-0.7386292817108081,179,2.4270240047580764,-0.7386292817108081
MATICUSDT,1h,-0.43735165779506935,83.41607994574623,-1.881735445940408,1859,1.8981711520617983,343,-12.00386588108847,179,-1.8981711520617983,-12.00386588108847
MATICUSDT,4h,-1.8317402592260947,164.5303644695452,0.781237369421891,1858,13.21690592854217,342,-11.2591092448641,179,-13.21690592854217,-11.2591092448641
ARBUSDT,15m,-0.2349982550899065,57.54431700503949,-0.6824289607484604,3679,-0.9475992285849762,1105,1.45619201235197,399,0.9475992285849762,1.45619201235197
ARBUSDT,1h,-0.9671002911931484,107.71119100724688,-1.1159133571286155,3679,0.18094184323824702,1105,2.778093572783151,399,-0.18094184323824702,2.778093572783151
ARBUSDT,4h,-3.814359913611345,208.37858244269512,-6.579193899357069,3679,-2.3986852910012084,1105,-1.5605435583887166,399,2.3986852910012084,-1.5605435583887166
OPUSDT,15m,-0.17972831542654344,60.918798520840184,-1.0974754006528458,3924,-1.397281834035815,1098,5.358525245600564,403,1.397281834035815,5.358525245600564
OPUSDT,1h,-0.7489814307221778,116.06457660315004,-1.4336278167064012,3924,-0.19323756643239262,1098,4.1558725326273,403,0.19323756643239262,4.1558725326273
OPUSDT,4h,-2.993839545586127,225.97278838443077,-5.4261668675116,3924,-0.3305757851024575,1098,-2.445336286620407,403,0.3305757851024575,-2.445336286620407
APTUSDT,15m,-0.13596613628133195,56.65709470701199,-1.0619345892192675,3924,-0.8572384687230145,775,-1.2127892642762579,417,0.8572384687230145,-1.2127892642762579
APTUSDT,1h,-0.5644863303909362,108.79179110604072,-2.1110862878006906,3924,-1.655090398843726,775,3.5015690934582944,417,1.655090398843726,3.5015690934582944
