symbol,horizon,year,n,mean_pnl_bps
ICPUSDT,15m,2023,666,0.1638028387749911
ICPUSDT,15m,2024,435,1.197883282826696
ICPUSDT,15m,2025,449,1.9870760848110058
ICPUSDT,15m,2026,156,11.281582564273156
ICPUSDT,1h,2023,666,-0.49824120022887974
ICPUSDT,1h,2024,435,1.2447495835074023
ICPUSDT,1h,2025,449,4.027702853536311
ICPUSDT,1h,2026,156,3.69266498765538
ICPUSDT,4h,2023,666,0.4734685989339939
ICPUSDT,4h,2024,435,2.7701285474537447
ICPUSDT,4h,2025,449,1.9682390382153458
ICPUSDT,4h,2026,156,23.118021252517817
AAVEUSDT,15m,2023,989,2.3751153343332594
AAVEUSDT,15m,2024,370,-1.7912847443013828
AAVEUSDT,15m,2025,421,0.9404436444881981
AAVEUSDT,15m,2026,156,-2.8209104186893996
AAVEUSDT,1h,2023,989,-0.5850757533576882
AAVEUSDT,1h,2024,370,1.376557673806217
AAVEUSDT,1h,2025,421,2.35772857242303
AAVEUSDT,1h,2026,156,1.2757245317456654
AAVEUSDT,4h,2023,989,2.4360572436688077
AAVEUSDT,4h,2024,370,-11.791580449490802
AAVEUSDT,4h,2025,421,3.2161331016508203
AAVEUSDT,4h,2026,156,25.282633360440766
