event_id,asset,binance_symbol,mexc_symbol,mexc_market,causal_class,status,reason,announcement_cut,n_hours_used,n_post_announcement_dropped,n_before_window_dropped,multiplier,integrity_violations,volume_floor,volume_cv,volume_range_coupling,log10_volume_per_range,zero_range_share,volume_floor_rank,volume_cv_rank,volume_range_coupling_rank,log10_volume_per_range_rank,n_features_ranked,volume_anomaly_rank,wash_volume_suspect,programme_like,anticipation_ratio,anticipation_base_hours,second_venue,second_venue_market,n_common_hours,log10_venue_volume_multiple,coupling_gap
a1d2ccd3fc62843b613f65d4,AT,ATUSDT,AT_USDT,perp,NO_CAPACITY,MEASURED,,True,69,2,0,1.0000,0,0.7468,0.5766,0.6595,5.3341,0.0000,0.8492,0.8175,0.4206,0.1984,4,0.5714,False,False,1.4772,45,gate,spot,69,-0.9803,0.5869
28bdb9c69e08176d20be77eb,CLANKER,CLANKERUSDT,CLANKERUSDT,spot,UNKNOWN_EXECUTION_COST,MEASURED,,True,70,2,0,1.0000,0,0.5107,1.6554,0.3665,5.5368,0.0000,0.6270,0.2143,0.8492,0.3413,4,0.5079,False,False,1.7347,46,kucoin,spot,70,-0.2319,0.0287
362be738f0907a9bd73fb3ac,BOB,BOBUSDT,BOBUSDT,spot,UNKNOWN_EXECUTION_COST,NOT_COMPUTABLE,n_hours 0 < 36,True,0,1,22,,0,,,,,,,,,,0,,,,,0,,,0,,
16eae9c262c564b7f77e1c46,IRYS,IRYSUSDT,IRYS_USDT,perp,UNKNOWN_EXECUTION_COST,NOT_COMPUTABLE,n_hours 6 < 36,True,6,2,21,,0,,,,,,,,,,0,,,,,0,,,0,,
1450c463b79e24c601a172ff,RLS,RLSUSDT,RLS_USDT,perp,UNKNOWN_EXECUTION_COST,NOT_COMPUTABLE,n_hours 0 < 36,True,0,2,23,,0,,,,,,,,,,0,,,,,0,,,0,,
c9fd590ebdf9b49aef7a4c3c,POWER,POWERUSDT,POWER_USDT,perp,UNKNOWN_EXECUTION_COST,NOT_COMPUTABLE,n_hours 21 < 36,True,21,2,0,,0,,,,,,,,,,0,,,,,0,,,0,,
b6bf7597d3931b0f488abc54,NIGHT,NIGHTUSDT,NIGHT_USDT,perp,UNKNOWN_EXECUTION_COST,NOT_COMPUTABLE,n_hours 0 < 36,True,0,2,24,,0,,,,,,,,,,0,,,,,0,,,0,,
3277a7bb4fc7bf6a8a7c77f4,US,USUSDT,US_USDT,perp,UNKNOWN_EXECUTION_COST,NOT_COMPUTABLE,n_hours 0 < 36,True,0,1,22,,0,,,,,,,,,,0,,,,,0,,,0,,
41ae58dd0b0e0e0417f6e585,RAVE,RAVEUSDT,RAVE_USDT,perp,UNKNOWN_EXECUTION_COST,NOT_COMPUTABLE,n_hours 31 < 36,True,31,1,19,,0,,,,,,,,,,0,,,,,0,,,0,,
d36f75c5038388444182fb27,GUA,GUAUSDT,GUA_USDT,perp,UNKNOWN_EXECUTION_COST,MEASURED,,True,69,2,0,10.0000,0,0.9648,0.1983,0.3340,5.2603,0.0000,0.9921,0.9762,0.9286,0.1349,4,0.7579,True,True,1.1650,45,gate,spot,69,-0.4915,-0.2135
0c7145de6321e6291d22c352,LIT,LITUSDT,LIT_USDT,perp,UNKNOWN_EXECUTION_COST,NOT_COMPUTABLE,n_hours 20 < 36,True,20,4,0,,0,,,,,,,,,,0,,,,,0,,,0,,
b10b4d2e924f842ca4c3d42f,COLLECT,COLLECTUSDT,COLLECTUSDT,spot,UNKNOWN_EXECUTION_COST,MEASURED,,True,69,2,0,1.0000,0,0.7451,0.4751,0.5270,4.8745,0.0000,0.8333,0.8810,0.6587,0.0397,4,0.6032,False,False,0.7276,45,,,0,,
1e56bc144c18fcd108d7e157,SPORTFUN,SPORTFUNUSDT,SPORTFUN_USDT,perp,UNKNOWN_EXECUTION_COST,NOT_COMPUTABLE,n_hours 5 < 36,True,5,1,17,,0,,,,,,,,,,0,,,,,0,,,0,,
3e941568d54f2776e7028bbd,AIA,AIAUSDT,AIA_USDT,perp,UNKNOWN_EXECUTION_COST,NO_TAPE,no hourly tape stored,True,0,0,0,,0,,,,,,,,,,0,,,,,0,,,0,,
5abc76df6e2d2a1b0c63b0a0,ACU,ACUUSDT,ACU_USDT,perp,UNKNOWN_EXECUTION_COST,NOT_COMPUTABLE,n_hours 4 < 36,True,4,1,21,,0,,,,,,,,,,0,,,,,0,,,0,,
5ee5dcd51b181f0ba234947b,ELSA,ELSAUSDT,ELSA_USDT,perp,UNKNOWN_EXECUTION_COST,MEASURED,,True,46,1,0,10.0000,0,0.4202,2.1651,0.8109,5.1741,0.0000,0.3571,0.1190,0.1190,0.1190,4,0.1786,False,False,,22,bybit,spot,45,-1.0954,0.1183
2df79d1ad5aba75fcb77f422,SPACE,SPACEUSDT,SPACE_USDT,perp,UNKNOWN_EXECUTION_COST,NOT_COMPUTABLE,n_hours 0 < 36,True,0,1,1,,0,,,,,,,,,,0,,,,,0,,,0,,
aeb53715c4b9a92a0aaee948,BIRB,BIRBUSDT,BIRB_USDT,perp,UNKNOWN_EXECUTION_COST,NOT_COMPUTABLE,n_hours 0 < 36,True,0,2,18,,0,,,,,,,,,,0,,,,,0,,,0,,
62ac4b9ad3859d53823e2e50,MEGA,MEGAUSDT,MEGA_USDT,perp,UNKNOWN_EXECUTION_COST,MEASURED,,True,69,2,0,1.0000,0,0.9178,0.2855,0.6946,5.4508,0.0000,0.9444,0.9603,0.3095,0.2302,4,0.6111,False,True,1.0164,45,bybit,perp,68,-0.0754,0.0485
8580bf0f45e76926710e6d66,TRIA,TRIAUSDT,TRIA_USDT,perp,UNKNOWN_EXECUTION_COST,MEASURED,,True,55,2,14,100.0000,0,0.3660,1.7663,0.3487,5.5869,0.0000,0.2937,0.1825,0.9127,0.3571,4,0.4365,False,False,7.7609,31,kucoin,spot,55,-0.8717,0.2807
3e5ba01473f71c2c24066d67,KAT,KATUSDT,KAT_USDT,perp,UNKNOWN_EXECUTION_COST,NO_TAPE,no hourly tape stored,True,0,0,0,,0,,,,,,,,,,0,,,,,0,,,0,,
a8187d0cf993805cfd2c093e,COPPER,COPPERUSDT,COPPER_USDT,perp,UNKNOWN_EXECUTION_COST,NOT_COMPUTABLE,n_hours 27 < 36,True,27,45,0,,0,,,,,,,,,,0,,,,,0,,,0,,
552172d058d82a30ea33b8c5,EDGE,EDGEUSDT,EDGE_USDT,perp,UNKNOWN_EXECUTION_COST,NO_TAPE,no hourly tape stored,True,0,0,0,,0,,,,,,,,,,0,,,,,0,,,0,,
33d1502c53913a216cd2cd0b,BSB,BSBUSDT,BSB_USDT,perp,UNKNOWN_EXECUTION_COST,MEASURED,,True,70,1,0,1.0000,0,0.9585,0.0320,0.2574,5.1543,0.0000,0.9762,0.9921,0.9603,0.0873,4,0.7540,True,True,0.9893,46,bybit,spot,70,-0.6920,-0.3741
26ab833409026c6833e35671,BASED,BASEDUSDT,BASED_USDT,perp,UNKNOWN_EXECUTION_COST,NOT_COMPUTABLE,n_hours 0 < 36,True,0,1,2,,0,,,,,,,,,,0,,,,,0,,,0,,
522a952ef9eba0157e549954,PRL,PRLUSDT,PRL_USDT,perp,UNKNOWN_EXECUTION_COST,MEASURED,,True,70,1,0,10.0000,0,0.5019,1.3727,0.4414,6.1192,0.0000,0.5952,0.2778,0.8333,0.7063,4,0.6032,False,False,1.9316,46,kucoin,spot,70,-0.4407,0.4307
6c0f1dc85db6d011c883ed91,GENIUS,GENIUSUSDT,GENIUSUSDT,spot,UNKNOWN_EXECUTION_COST,NOT_COMPUTABLE,n_hours 35 < 36,True,35,1,24,,0,,,,,,,,,,0,,,,,0,,,0,,
0c2309bd4c1d478508f92129,CHIP,CHIPUSDT,CHIP_USDT,perp,UNKNOWN_EXECUTION_COST,NO_TAPE,no hourly tape stored,True,0,0,0,,0,,,,,,,,,,0,,,,,0,,,0,,
ccb83aab3b96f19dedf813f2,OPG,OPGUSDT,OPG_USDT,perp,UNKNOWN_EXECUTION_COST,NOT_COMPUTABLE,n_hours 23 < 36,True,23,1,4,,0,,,,,,,,,,0,,,,,0,,,0,,
aa14e742e8cfb1efff510dc4,AIGENSYN,AIGENSYNUSDT,AIGENSYN_USDT,perp,UNKNOWN_EXECUTION_COST,NOT_COMPUTABLE,n_hours 0 < 36,True,0,1,2,,0,,,,,,,,,,0,,,,,0,,,0,,
742251cb77d37722f13a482f,BILL,BILLUSDT,BILLUSDT,spot,UNKNOWN_EXECUTION_COST,MEASURED,,True,46,2,23,1.0000,0,0.4955,0.9627,-0.2709,6.9231,0.0000,0.5794,0.4524,0.9921,0.9286,4,0.7381,True,False,,22,kucoin,spot,46,0.1891,-0.7683
56f2f342b29eec0adafc21d9,PHAROS,PHAROSUSDT,PHAROS_USDT,perp,UNKNOWN_EXECUTION_COST,MEASURED,,True,70,1,0,1.0000,0,0.3899,1.0668,0.4653,5.8916,0.0000,0.3095,0.3413,0.7857,0.5317,4,0.4921,False,False,1.3737,46,,,0,,
976b92e9c98390bef992d712,OPENAI,OPENAIUSDT,OPENAI_USDT,perp,NO_CAPACITY,MEASURED,,True,70,1,0,0.0010,0,0.9238,0.2934,0.5145,5.7190,0.0000,0.9603,0.9286,0.6905,0.4524,4,0.7579,True,True,1.0038,46,okx,perp,70,-0.6309,-0.3323
572cd83f5720bcd5d1c2187c,CTR,CTRUSDT,CTR_USDT,perp,UNKNOWN_EXECUTION_COST,NOT_COMPUTABLE,n_hours 28 < 36,True,28,1,15,,0,,,,,,,,,,0,,,,,0,,,0,,
03ba3fbc3b60d01293ced6b8,SLX,SLXUSDT,SLXUSDT,spot,UNKNOWN_EXECUTION_COST,MEASURED,,True,70,1,0,1.0000,0,0.5148,1.7384,0.5534,6.0154,0.0000,0.6587,0.1984,0.5952,0.6587,4,0.5278,False,False,1.3197,46,gate,spot,70,-0.2059,0.0133
d913e3b032076ea0acc1c625,ANTHROPIC,ANTHROPICUSDT,ANTHROPIC_USDT,perp,UNKNOWN_EXECUTION_COST,MEASURED,,True,70,1,0,0.0010,0,0.8563,0.3643,0.5793,5.8270,0.0000,0.9127,0.9127,0.5635,0.4841,4,0.7183,True,True,1.3258,46,okx,perp,70,-0.6065,-0.1717
baf507f943c3234dd3349b17,ZEST,ZESTUSDT,ZEST_USDT,perp,UNKNOWN_EXECUTION_COST,MEASURED,,True,70,2,0,10.0000,0,0.7412,0.3718,0.8695,5.2985,0.0000,0.8175,0.8968,0.0397,0.1825,4,0.4841,False,False,1.0099,46,kucoin,spot,70,0.0133,0.3083
ace902e11e083aed89453fd5,ARX,ARXUSDT,ARX_USDT,perp,UNKNOWN_EXECUTION_COST,NOT_COMPUTABLE,n_hours 0 < 36,True,0,1,18,,0,,,,,,,,,,0,,,,,0,,,0,,
c5b864cf4dd397c1d6ef3939,CAP,CAPUSDT,CAP_USDT,perp,UNKNOWN_EXECUTION_COST,NOT_COMPUTABLE,n_hours 4 < 36,True,4,1,18,,0,,,,,,,,,,0,,,,,0,,,0,,
236fa99f5592a4897da47982,GRVT,GRVTUSDT,GRVT_USDT,perp,UNKNOWN_EXECUTION_COST,NOT_COMPUTABLE,n_hours 0 < 36,True,0,1,24,,0,,,,,,,,,,0,,,,,0,,,0,,
59e06472fc86d6593e4f1ec7,DOS,DOSUSDT,DOSUSDT,spot,UNKNOWN_EXECUTION_COST,NOT_COMPUTABLE,n_hours 4 < 36,True,4,1,25,,0,,,,,,,,,,0,,,,,0,,,0,,
8e5439011d436434070c3559,UNITREE,UNITREEUSDT,UNITREE_USDT,perp,UNKNOWN_EXECUTION_COST,MEASURED,,True,71,0,1,0.1000,0,0.3618,2.6505,0.8213,6.2823,0.0000,0.2619,0.0873,0.1032,0.7698,4,0.3056,False,False,6.3593,47,bybit,perp,71,0.2954,0.0769
52458484e807a05d5e6a8195,MARSCOIN,MARSCOINUSDT,MARSCOINUSDT,spot,UNKNOWN_EXECUTION_COST,MEASURED,,True,70,1,0,1.0000,0,0.3999,0.7259,0.6464,5.2790,0.0000,0.3413,0.7063,0.4683,0.1508,4,0.4167,False,False,1.5500,46,gate,spot,70,0.5594,0.0553
266efa4370e672325fa7860d,PONS,PONSUSDT,PONSUSDT,spot,UNKNOWN_EXECUTION_COST,MEASURED,,True,70,1,0,1.0000,0,0.5951,0.5403,0.5895,6.9199,0.0000,0.7698,0.8333,0.5476,0.9127,4,0.7659,True,False,1.8441,46,kucoin,spot,70,0.2449,0.1131
