mechanism_id,family,horizon_h,tier,verdict,n_raw,n_independent_L1,n_independent_L2_days,n_independent_L3_weeks,gross_bps,net_bps,net_bps_stress28,t_stat_declustered,event_rate_L1_per_week_recent6m,eta_forward_confirmation_years,eta_at_zero_cost_years,sharpe_net_ann,sharpe_gross_ann,net_bps_min_for_1y_confirm,cost_bps_for_1y_confirm,capacity_usd_estimate,ex_best_year_net_bps,best_year
M11_FLOW_PRICE_DIVERGENCE,F_divergence,12,T_ALL,DEAD,1702,1390.0,864.0,253.0,7.603117206667963,-6.396882793332037,-20.396882793332036,0.779573137437907,11.511111111111111,,139.4579729704889,-0.34888837340840884,0.4743128957751208,84.33913472674972,-76.27260131695824,649866.525,-14.638452717883949,2020.0
M12_XS_RESID_REVERSAL_1H,G_cross_sectional_hourly,1,T_ALL,DEAD,50657,50657.0,2112.0,303.0,1.0075456529424989,-10.80024712984101,-22.608039912624516,4.748848890827119,168.89444444444445,,4.812696110962253,-27.700049647630816,2.553244393039437,2.186904849059826,-1.1903792913375968,7611001.600000001,-10.92632919899921,2020.0
M12_XS_RESID_REVERSAL_1H,G_cross_sectional_hourly,4,T_ALL,DEAD,50654,12664.0,2112.0,303.0,0.5959862988994182,-11.348048754353755,-23.29208380760693,1.5714120708673878,42.19444444444444,,52.30024453171366,-14.858018018659092,0.7745237634473906,4.281099326805471,-3.6893248662515172,30442481.6,-11.66620507822681,2020.0
M12_XS_RESID_REVERSAL_1H,G_cross_sectional_hourly,12,T_ALL,DEAD,50646,4221.0,2112.0,303.0,0.17907578718531741,-11.912995865227098,-24.00506751763951,0.30783094991840315,14.038888888888888,,1386.149219369895,-8.82952749766522,0.15044633568568136,7.545003989197637,-7.3424190034599555,91305043.2,-12.207002201785594,2020.0
M13_XS_FLOW_REVERSAL_1H,G_cross_sectional_hourly,1,T_ALL,DEAD,50657,50657.0,2112.0,303.0,0.42616699822628656,-11.348974836986422,-23.12411667219913,3.624236723568542,168.89444444444445,,9.940775545651412,-48.12441141170762,1.7765460641391786,1.322181576282699,-0.9029695422820883,1863314.8,-11.402621346816858,2022.0
M13_XS_FLOW_REVERSAL_1H,G_cross_sectional_hourly,4,T_ALL,DEAD,50654,12664.0,2112.0,303.0,-0.16448481339345006,-12.173759176911211,-24.183033540428973,-0.7410019859335979,42.19444444444444,,inf,-22.974620972913854,-0.3485896430326325,2.9740085697363,-3.159030352939213,7453118.800000001,-12.396472897673569,2022.0
M13_XS_FLOW_REVERSAL_1H,G_cross_sectional_hourly,12,T_ALL,DEAD,50645,4221.0,2112.0,303.0,-0.8715759635481793,-12.981414210847374,-25.091252458146567,-1.8284382378321373,14.038888888888888,,inf,-12.946959899552377,-0.883455670330085,5.624691330598498,-6.511540214892073,22356081.6,-13.610859381654006,2022.0
M14_XS_OI_SHOCK,G_cross_sectional_hourly,1,T_ALL,DEAD,40860,40860.0,1704.0,244.0,0.9305030075694791,-9.80866217931254,-20.54782736619456,5.5307153607872745,168.89444444444445,,3.5394092064831257,-31.456872449352915,2.977290547915001,1.7474905049865275,-0.8189470986624496,6099129.0,-9.846928146659012,2021.0
M14_XS_OI_SHOCK,G_cross_sectional_hourly,4,T_ALL,DEAD,40857,10217.0,1704.0,244.0,1.98380857935886,-9.679126916017728,-21.342062411394313,5.083183471504052,42.19444444444444,,4.16559118358194,-13.39623096646513,2.744405518981539,4.0487508300076644,-2.065692443809741,24394636.8,-9.770889036090562,2021.0
M14_XS_OI_SHOCK,G_cross_sectional_hourly,12,T_ALL,DEAD,40849,3406.0,1704.0,244.0,3.538041906321723,-8.411126775776665,-20.360295457875054,4.313597787587725,14.038888888888888,,5.253054727402133,-5.8360462082727285,2.443884315011021,8.086206582136567,-4.559318785496004,73172942.4,-8.550312655111005,2021.0
M15_XS_VOLSHOCK,G_cross_sectional_hourly,1,T_ALL,DEAD,50657,50657.0,2112.0,303.0,-0.49162937013904745,-8.641235121176646,-16.790840872214243,-3.063614901816271,168.89444444444445,,inf,-24.303059080694247,-1.3606027682168287,1.9903548856831101,-2.4736673956303146,2568043.6,-8.747987359415005,2023.0
M15_XS_VOLSHOCK,G_cross_sectional_hourly,4,T_ALL,DEAD,50654,12664.0,2112.0,303.0,-1.099046597787264,-11.538011322327975,-21.976976046868685,-2.420448105938643,42.19444444444444,,inf,-11.09294787241113,-1.0578661340972049,5.828681823889111,-6.9291240071315965,10272169.200000001,-11.915050763523329,2021.0
M15_XS_VOLSHOCK,G_cross_sectional_hourly,12,T_ALL,DEAD,50646,4221.0,2112.0,303.0,-0.14887047101388243,-12.053504589094022,-23.95813870717416,-0.13875669663288775,14.038888888888888,,inf,-5.1372938329860895,-0.06205054470493882,13.14295495913143,-13.288502470764127,30816507.6,-13.585905627140972,2021.0
