mechanism_id,family,horizon_h,tier,raw_episodes_per_day,sd_episode_bps,sd_daymean_bps,k_eff_independent_per_day,redundancy_factor,net_bps_min_1y,eta_years
M11_FLOW_PRICE_DIVERGENCE,F_divergence,4,T_ALL,1.9699074074074074,198.16424761251088,159.96154325156112,1.5346856581502006,1.2835901586399079,46.91405645491951,
M11_FLOW_PRICE_DIVERGENCE,F_divergence,12,T_ALL,1.9699074074074074,321.46589490662984,287.5687835767508,1.2496440566538736,1.5763748060244906,84.33913472674972,
M12_XS_RESID_REVERSAL_1H,G_cross_sectional_hourly,1,T_ALL,23.98532196969697,35.21457000547416,7.456628162949,22.30282135960126,1.0754389134436302,2.186904849059826,
M12_XS_RESID_REVERSAL_1H,G_cross_sectional_hourly,4,T_ALL,23.983901515151516,65.46929297030503,14.5971443715823,20.115901244793136,1.1922857058845218,4.281099326805471,
M12_XS_RESID_REVERSAL_1H,G_cross_sectional_hourly,12,T_ALL,23.980113636363637,103.28737786973443,25.725988608786775,16.11945515935225,1.4876503826775287,7.545003989197637,
M13_XS_FLOW_REVERSAL_1H,G_cross_sectional_hourly,1,T_ALL,23.98532196969697,20.75191843371304,4.508205458724174,21.188933715995223,1.1319739960105115,1.322181576282699,
M13_XS_FLOW_REVERSAL_1H,G_cross_sectional_hourly,4,T_ALL,23.983901515151516,37.945467932694584,10.140393656121391,14.002648779698813,1.7128117610093618,2.9740085697363,
M13_XS_FLOW_REVERSAL_1H,G_cross_sectional_hourly,12,T_ALL,23.979640151515152,67.2097389183141,19.178352364835092,12.281228997183867,1.952544013063658,5.624691330598498,
M14_XS_OI_SHOCK,G_cross_sectional_hourly,1,T_ALL,23.97887323943662,27.504198727116194,5.958369391137622,21.30802249800085,1.125344843318349,1.7474905049865275,
M14_XS_OI_SHOCK,G_cross_sectional_hourly,4,T_ALL,23.97711267605634,51.27442708517183,13.804912214986082,13.795401171411767,1.7380511358918762,4.0487508300076644,
M14_XS_OI_SHOCK,G_cross_sectional_hourly,12,T_ALL,23.972417840375588,91.40450042921634,27.57131191954004,10.990571998858353,2.181180182693469,8.086206582136567,
M15_XS_VOLSHOCK,G_cross_sectional_hourly,1,T_ALL,23.98532196969697,31.961142161413868,6.786457262293906,22.17983672196055,1.0814020982376658,1.9903548856831101,
M15_XS_VOLSHOCK,G_cross_sectional_hourly,4,T_ALL,23.983901515151516,59.37799456571399,19.87389303177292,8.926581106794371,2.686795899596591,5.828681823889111,
M15_XS_VOLSHOCK,G_cross_sectional_hourly,12,T_ALL,23.980113636363637,105.24829328367353,44.813165115419544,5.515931780724978,4.347427522610123,13.14295495913143,
M16_XS_BASIS_REVERSAL,G_cross_sectional_hourly,1,T_ALL,23.974431818181817,23.56395924433037,4.982703447530116,22.364873457012763,1.071968140766044,1.4613439335724125,
M16_XS_BASIS_REVERSAL,G_cross_sectional_hourly,4,T_ALL,23.973011363636363,45.86318890044261,11.05543457510033,17.209841036798576,1.3929827307745948,3.242374831144699,
M16_XS_BASIS_REVERSAL,G_cross_sectional_hourly,12,T_ALL,23.969223484848484,69.99058427062158,20.730207843924504,11.39913573597516,2.102722876542534,6.0798246962561615,
M17_FUNDING_CROWDING_FADE,H_funding_control,1,T_ALL,898.1738730450782,132.25268348637047,18.324639001405465,52.08805373252166,17.24337556663775,5.374311419814124,
M17_FUNDING_CROWDING_FADE,H_funding_control,4,T_ALL,898.0694572217111,240.12425007081671,69.16011249074826,12.054818087713112,74.49879796502856,20.28350912267085,
M17_FUNDING_CROWDING_FADE,H_funding_control,12,T_ALL,897.811867525299,416.9565762316906,195.6171658118428,4.543261463775812,197.61395523539733,57.37125670271739,
M1_RESID_REVERSION_1H_z1.5,A_resid_move,1,T_ALL,279.8973136915078,176.07353331769966,22.6338077412264,60.51637617125626,4.625149941222883,6.638118841425509,
M1_RESID_REVERSION_1H_z1.5,A_resid_move,4,T_ALL,279.8639514731369,290.9261357522038,38.598448102946236,56.810130840515185,4.926303589386329,11.320281966310851,
M1_RESID_REVERSION_1H_z1.5,A_resid_move,12,T_ALL,279.7127383015598,461.0867310240468,63.953005773417864,51.98084401192096,5.381073424614119,18.7563514475323,
M1_RESID_REVERSION_1H_z2.5,A_resid_move,1,T_ALL,81.55801825293351,252.5744838339672,44.16548320785319,32.704911296634556,2.493754455200926,12.953000642870473,
M1_RESID_REVERSION_1H_z2.5,A_resid_move,4,T_ALL,81.54976097348978,384.5052879063654,75.92004921825205,25.650254096963184,3.1792964180867402,22.26608597720305,
M1_RESID_REVERSION_1H_z2.5,A_resid_move,12,T_ALL,81.48544111255976,560.9537081849527,122.95071888846952,20.815742257256584,3.914606556206425,36.059398089423624,
M1_RESID_REVERSION_1H_z4.0,A_resid_move,1,T_ALL,23.615761353517364,380.0391458863567,106.70247622445315,12.685502361041102,1.8616339094338565,31.29405913270875,
M2_RESID_CONTINUATION_1H_z1.5,A_resid_move,1,T_ALL,279.8973136915078,176.07353331769966,22.6338077412264,60.51637617125626,4.625149941222883,6.638118841425509,
M2_RESID_CONTINUATION_1H_z1.5,A_resid_move,4,T_ALL,279.8639514731369,290.9261357522038,38.598448102946236,56.810130840515185,4.926303589386329,11.320281966310851,
M2_RESID_CONTINUATION_1H_z1.5,A_resid_move,12,T_ALL,279.7127383015598,461.0867310240468,63.953005773417864,51.98084401192096,5.381073424614119,18.7563514475323,
M2_RESID_CONTINUATION_1H_z2.5,A_resid_move,1,T_ALL,81.55801825293351,252.5744838339672,44.16548320785319,32.704911296634556,2.493754455200926,12.953000642870473,
M2_RESID_CONTINUATION_1H_z2.5,A_resid_move,4,T_ALL,81.54976097348978,384.5052879063654,75.92004921825205,25.650254096963184,3.1792964180867402,22.26608597720305,
M2_RESID_CONTINUATION_1H_z2.5,A_resid_move,12,T_ALL,81.48544111255976,560.9537081849527,122.95071888846952,20.815742257256584,3.914606556206425,36.059398089423624,
M2_RESID_CONTINUATION_1H_z4.0,A_resid_move,1,T_ALL,23.615761353517364,380.0391458863567,106.70247622445315,12.685502361041102,1.8616339094338565,31.29405913270875,
M2_RESID_CONTINUATION_1H_z4.0,A_resid_move,4,T_ALL,23.613980409617096,533.9339326835438,169.9000533307113,9.876157650377495,2.3910088564366427,49.82885593392796,
M2_RESID_CONTINUATION_1H_z4.0,A_resid_move,12,T_ALL,23.585485307212824,741.2084179191687,262.23138751533963,7.989348028945523,2.95211639570116,76.90809845963683,
M3_RESID_REVERSION_4H_z1.5,A_resid_move,1,T_ALL,284.6763683753258,193.71377876915034,20.094985084370386,92.92779870737724,3.0634145254182834,5.893524440598426,
M3_RESID_REVERSION_4H_z1.5,A_resid_move,4,T_ALL,284.639009556907,313.06520685354735,53.89265469842449,33.7450793811071,8.434978218373024,15.80581803372102,
M3_RESID_REVERSION_4H_z1.5,A_resid_move,12,T_ALL,284.4548218940052,490.4050217619991,107.22154182723666,20.919231278426597,13.59776648137904,31.44629242889855,
M3_RESID_REVERSION_4H_z2.5,A_resid_move,1,T_ALL,83.78593406593407,293.09391264052914,46.14428872155308,40.34388200365873,2.076794049177906,13.533351342769818,
M3_RESID_REVERSION_4H_z2.5,A_resid_move,4,T_ALL,83.77538461538461,436.0025860496526,108.22913845300006,16.22892404943845,5.1621034370595495,31.741803737579232,
M4_FLOW_IMBALANCE_FADE_0.3,B_flow,1,T_ALL,62.26210204971653,83.22192453860889,25.448493653456097,10.69427501392981,5.82200307815323,7.463619340514512,
M4_FLOW_IMBALANCE_FADE_0.3,B_flow,4,T_ALL,62.24596598342782,160.61265896473617,51.67284795592196,9.661281740711974,6.442826909925173,15.15478568732136,
M4_FLOW_IMBALANCE_FADE_0.3,B_flow,12,T_ALL,62.22023549934583,285.3197547288793,103.72383238293351,7.5667010279154825,8.222901270950125,30.42047250370011,
M4_FLOW_IMBALANCE_FADE_0.5,B_flow,1,T_ALL,7.2464,82.29705754969693,49.56105765803661,2.757321985622478,2.6280572373429547,14.535432765099674,
M4_FLOW_IMBALANCE_FADE_0.5,B_flow,4,T_ALL,7.2464,173.07398347407835,116.38072059347614,2.2115741002856364,3.276580241676772,34.13252701369689,
M4_FLOW_IMBALANCE_FADE_0.5,B_flow,12,T_ALL,7.2456,296.0298119098865,244.98790272290455,1.4600966978917636,4.962411058433277,71.85087156254667,
M5_FLOW_IMBALANCE_FOLLOW_0.3,B_flow,1,T_ALL,62.26210204971653,83.22192453860889,25.448493653456097,10.69427501392981,5.82200307815323,7.463619340514512,
M5_FLOW_IMBALANCE_FOLLOW_0.3,B_flow,4,T_ALL,62.24596598342782,160.61265896473617,51.67284795592196,9.661281740711974,6.442826909925173,15.15478568732136,
M5_FLOW_IMBALANCE_FOLLOW_0.3,B_flow,12,T_ALL,62.22023549934583,285.3197547288793,103.72383238293351,7.5667010279154825,8.222901270950125,30.42047250370011,
M5_FLOW_IMBALANCE_FOLLOW_0.5,B_flow,1,T_ALL,7.2464,82.29705754969693,49.56105765803661,2.757321985622478,2.6280572373429547,14.535432765099674,
