net_put_flow_btc_z,net_call_flow_btc_z,block_share_z,pc_volume_ratio_z,top_strike_share_z,lag,event_day
0.04970865526876478,0.1328102399330626,-1.2293979396622734,-1.0525821543712803,3.267034088411435,-2,2023-04-10
-0.49975363124418654,0.349376026328866,-1.1107363405325792,-0.4614801246692303,-0.2777449322761466,-1,2023-04-10
-1.6853847767915267,0.8031605660372378,2.3106876252758086,-0.9995557134616331,-0.5861442739582046,0,2023-04-10
-0.00734239652722193,-0.42691710589668563,1.6192803655090993,-0.7551870330880136,0.05522679090091629,1,2023-04-10
-1.6828891839924598,-0.9220646219486185,0.7140600036682857,-0.592363696826477,2.9418259527926884,2,2023-04-10
-1.6828891839924598,-0.9220646219486185,0.7140600036682857,-0.592363696826477,2.9418259527926884,-2,2023-04-14
-0.3205672714374804,-0.058995734203599166,0.7445992547495953,-1.159189574632442,-0.02813954229724342,-1,2023-04-14
0.0903405076981635,-0.06534953365678124,0.6962976118452101,-0.4210844392632748,-0.6815202304755913,0,2023-04-14
-0.25049393727116886,-0.16634280778811722,-0.1558486396342152,0.2794425122923236,0.6374952607447636,1,2023-04-14
-0.3237550685849391,-0.03935145056169969,-0.676691050371263,-0.056203557153670106,-0.4831762181615468,2,2023-04-14
0.05559818294519312,-0.28017984025429926,0.8794299861642684,-0.2584877104715531,1.3551086351101955,-2,2023-04-19
-1.1460855959690728,1.150650444973721,1.121541637399334,-0.8364468975754501,0.46902335425059294,-1,2023-04-19
1.0842815155910697,-0.47373299027021964,0.13417107937142997,0.33850209919961677,1.0312681283036982,0,2023-04-19
0.5253487815811391,-1.186601537416239,0.029994693049255124,0.35964774326084537,-0.6879466783644512,1,2023-04-19
0.38573047687697143,0.011033608855400941,0.12474191251696827,0.4809488262376435,1.5133954422121412,2,2023-04-19
1.0842815155910697,-0.47373299027021964,0.13417107937142997,0.33850209919961677,1.0312681283036982,-2,2023-04-21
0.5253487815811391,-1.186601537416239,0.029994693049255124,0.35964774326084537,-0.6879466783644512,-1,2023-04-21
0.38573047687697143,0.011033608855400941,0.12474191251696827,0.4809488262376435,1.5133954422121412,0,2023-04-21
0.017164484856089526,0.10347477495614163,-1.2938194304490247,-0.09951725256112591,-0.13983281534667835,1,2023-04-21
-0.1148514856476572,-0.2472217436312906,-1.337754646496526,-0.46938623333851565,-1.1387020727425279,2,2023-04-21
-0.16861470963389763,-0.22934155332603312,1.1373231519012832,0.7324944062340616,-0.138011900427787,-2,2023-04-26
-0.41799683989674713,0.652324149199203,1.2794812560943838,1.1864821649295305,0.23194427536411927,-1,2023-04-26
0.2651800220727014,-0.09870219488689158,-0.24318324950749748,0.06752092352947824,0.1492876118265405,0,2023-04-26
-1.4475221996805976,0.31592951428617744,-0.6882148509015085,-0.29984246766012934,0.2621841361572191,1,2023-04-26
-2.6298864648115923,-1.1443487767918898,0.5155092730837499,-0.12081967846963242,0.04959202143652302,2,2023-04-26
-0.41799683989674713,0.652324149199203,1.2794812560943838,1.1864821649295305,0.23194427536411927,-2,2023-04-27
0.2651800220727014,-0.09870219488689158,-0.24318324950749748,0.06752092352947824,0.1492876118265405,-1,2023-04-27
-1.4475221996805976,0.31592951428617744,-0.6882148509015085,-0.29984246766012934,0.2621841361572191,0,2023-04-27
-2.6298864648115923,-1.1443487767918898,0.5155092730837499,-0.12081967846963242,0.04959202143652302,1,2023-04-27
0.1042982005655575,-0.013353357037165286,-1.536209077591695,-0.27298942952155003,0.034322107127207686,2,2023-04-27
-0.3126097292267567,-0.19921261817124394,-0.5085759328017242,1.2044461859751228,0.7928084036360739,-2,2023-05-12
0.11163857828930904,0.19778689565506735,0.6875114124750888,-0.012339904749177098,-0.7397349358902495,-1,2023-05-12
2.5372641498102992,-0.6473671178200574,-0.10604522947343002,1.1811174881535516,-1.0859922534801676,0,2023-05-12
-0.1034143834046235,-0.47951668155929006,-1.2561607564025583,-0.141251616946797,2.1987501123236863,1,2023-05-12
0.0456334588955838,-0.3634821220531718,-0.9906740720222056,1.6887863100084433,0.5311037381869328,2,2023-05-12
-0.1625236667382538,2.0989513556774737,1.083875300814603,-0.6718436870792438,2.6235668074851954,-2,2023-05-17
0.29017484635426855,-0.28391730093891404,0.2895976869584858,-0.010540968387278696,-0.10190268117523035,-1,2023-05-17
-0.42819407397648185,-0.501421051790907,0.7860784653056776,2.915997571761905,-0.1155874881496466,0,2023-05-17
0.15606317272322587,-1.9045398983399198,0.6493415821535086,-1.2176771995159168,0.9789921274690243,1,2023-05-17
0.18235897438459875,1.1484557248432723,0.9170011923895481,0.38790420491327887,0.6978737944591913,2,2023-05-17
