key,signal,neutral,horizon,basket,hold,smooth,state,regime,dir,n_days,n_indep,gross_dly,cost_dly,net_dly,net_per_hold,t,t_dir,t_inv,stab,nw_lag,meff,thr,passes,passes_placebo
funding_z60|raw|h1|k12|hd1|sm5|-|-,funding_z60,raw,1,12,1,5,-,-,INV,849,849,-0.27316669806709254,6.600395433099234,-6.327228735032141,-6.327228735032141,-0.896832138231001,-0.9753520983303876,-0.896832138231001,0.5,8,798.0000000000082,4.002575583248625,False,False
lsr_ttpos_chg7|full|h3|k8|hd1|sm0|-|-,lsr_ttpos_chg7,full,3,8,1,0,-,-,INV,580,193,-0.28779484545748446,6.792090899596785,-6.504296054139301,-19.5128881624179,-0.8973648305879233,-0.9743490276773585,-0.8973648305879233,0.25,5,798.0000000000082,4.002575583248625,False,False
funding_trend_3|full|h3|k12|hd1|sm5|-|-,funding_trend_3,full,3,12,1,5,-,-,DIR,849,283,1.5755521314776773,6.460528185740439,-4.884976054262763,-14.65492816278829,-0.897855305396581,-0.897855305396581,-1.4719000628773378,0.25,10,798.0000000000082,4.002575583248625,False,False
mom_skip1_5|raw|h1|k12|hd1|sm0|-|-,mom_skip1_5,raw,1,12,1,0,-,-,DIR,853,853,5.345269981428408,13.282718875437215,-7.937448894008809,-7.937448894008809,-0.8992441011048758,-0.8992441011048758,-2.1145485475878614,0.25,3,798.0000000000082,4.002575583248625,False,False
oi_x_taker|mom|h1|k8|hd1|sm5|-|-,oi_x_taker,mom,1,8,1,5,-,-,INV,849,849,-0.9901382756357116,7.673660652456228,-6.683522376820517,-6.683522376820517,-0.8994181000209068,-1.1646420622332265,-0.8994181000209068,0.25,8,798.0000000000082,4.002575583248625,False,False
mom_skip1_60|mom|h1|k12|hd5|sm0|-|-,mom_skip1_60,mom,1,12,5,0,-,-,INV,853,170,-2.865303831832878,5.198084267175827,-2.33278043534295,-2.33278043534295,-0.8995039523928454,-3.1119290390833596,-0.8995039523928454,0.25,7,798.0000000000082,4.002575583248625,False,False
oi_x_taker|mkt|h1|k12|hd1|sm0|-|-,oi_x_taker,mkt,1,12,1,0,-,-,DIR,853,853,6.737320123912718,12.859654219259793,-6.122334095347071,-6.122334095347071,-0.9000541953708273,-0.9000541953708273,-2.8881173566661564,0.25,3,798.0000000000082,4.002575583248625,False,False
funding_trend_3|full|h1|k12|hd1|sm0|-|-,funding_trend_3,full,1,12,1,0,-,-,INV,853,853,-5.7688586787880105,11.421024625046863,-5.652165946258852,-5.652165946258852,-0.900233755916886,-2.7289310767275827,-0.900233755916886,0.25,3,798.0000000000082,4.002575583248625,False,False
lsr_ttpos_chg3|full|h3|k8|hd1|sm0|-|-,lsr_ttpos_chg3,full,3,8,1,0,-,-,DIR,588,196,2.8041793969075517,8.794271906041914,-5.990092509134363,-17.970277527403088,-0.90194561760891,-0.90194561760891,-1.7474141361530924,0.5,5,798.0000000000082,4.002575583248625,False,False
mom_skip1_10|mom|h1|k12|hd1|sm5|-|-,mom_skip1_10,mom,1,12,1,5,-,-,INV,849,849,-2.6391402095701677,8.099720666275738,-5.46058045670557,-5.46058045670557,-0.9021814655469862,-1.778345023820223,-0.9021814655469862,0.25,8,798.0000000000082,4.002575583248625,False,False
