symbol,year,n_hours,tbb_is_half_volume,tbq_is_half_qav,tbratio_base_eq_0p5,ntr_zero_rate,trades_zero_rate,vol_zero_rate,n_match_perp,n_match_spot,frac_eq_perp,frac_eq_spot,source
DOGEUSDT,2023,8759,0.0,1.0,0.0,0.0001,0.0001,0.0001,8759,8759,0.0363,1.0,SPOT
DOGEUSDT,2024,8784,0.0,1.0,0.0,0.0,0.0,0.0,8784,8784,0.0505,1.0,SPOT
DOGEUSDT,2025,8760,0.0,1.0,0.0,0.0,0.0,0.0,8760,8760,0.0164,1.0,SPOT
DOGEUSDT,2026,5925,0.0,1.0,0.0002,0.0,0.0,0.0,5088,5088,0.001,1.0,SPOT
DOTUSDT,2021,8760,1.0,1.0,1.0,1.0,1.0,0.0,8760,8747,1.0,0.0521,PERP
DOTUSDT,2022,8760,1.0,1.0,1.0,1.0,1.0,0.0,8760,8760,1.0,0.0479,PERP
DOTUSDT,2023,8760,1.0,1.0,1.0,1.0,1.0,0.0,8760,8759,1.0,0.0421,PERP
DOTUSDT,2024,8784,1.0,1.0,1.0,1.0,1.0,0.0,8784,8784,0.9998,0.0494,PERP
DOTUSDT,2025,8760,1.0,1.0,1.0,1.0,1.0,0.0,8760,8760,1.0,0.0729,PERP
DOTUSDT,2026,5917,0.7259,1.0,0.7259,0.7259,0.7259,0.0,5088,5088,0.8805,0.3154,MIX
ENAUSDT,2024,6564,1.0,1.0,1.0,1.0,1.0,0.0,6564,6564,0.9997,0.094,PERP
ENAUSDT,2025,8760,1.0,1.0,1.0,1.0,1.0,0.0,8760,8760,1.0,0.0807,PERP
ENAUSDT,2026,4298,1.0,1.0,1.0,1.0,1.0,0.0,4298,4298,0.9998,0.1705,PERP
ETCUSDT,2021,8760,1.0,1.0,1.0,1.0,1.0,0.0,8760,8747,1.0,0.0448,PERP
ETCUSDT,2022,8760,1.0,1.0,1.0,1.0,1.0,0.0,8760,8760,1.0,0.0526,PERP
ETCUSDT,2023,8760,1.0,1.0,1.0,1.0,1.0,0.0,8760,8759,1.0,0.097,PERP
ETCUSDT,2024,8784,1.0,1.0,1.0,1.0,1.0,0.0,8784,8784,0.9998,0.0789,PERP
ETCUSDT,2025,8760,1.0,1.0,1.0,1.0,1.0,0.0,8760,8760,1.0,0.0767,PERP
ETCUSDT,2026,4296,1.0,1.0,1.0,1.0,1.0,0.0,4296,4296,0.9998,0.0568,PERP
ETHUSDT,2017,3278,1.0,1.0,0.9991,0.0009,0.0009,0.0009,0,0,,,NO_V2_REF
ETHUSDT,2018,8698,1.0,1.0,1.0,0.0,0.0,0.0,0,0,,,NO_V2_REF
ETHUSDT,2019,787,1.0,1.0,0.9987,0.0013,0.0013,0.0013,0,787,,0.0928,MIX
ETHUSDT,2020,8784,1.0,1.0,1.0,0.0,0.0,0.0,8784,8767,1.0,0.1031,PERP
ETHUSDT,2021,8760,1.0,1.0,1.0,0.0,0.0,0.0,8760,8747,1.0,0.0851,PERP
ETHUSDT,2022,8760,1.0,1.0,1.0,0.0,0.0,0.0,8760,8760,1.0,0.032,PERP
ETHUSDT,2023,8760,1.0,1.0,1.0,0.0,0.0,0.0,8760,8759,1.0,0.0678,PERP
ETHUSDT,2024,8784,1.0,1.0,1.0,0.0,0.0,0.0,8784,8784,1.0,0.0417,PERP
ETHUSDT,2025,8760,1.0,1.0,1.0,0.0,0.0,0.0,8760,8760,1.0,0.0096,PERP
ETHUSDT,2026,5924,0.5633,1.0,0.5633,0.0,0.0,0.0,5088,5088,0.6557,0.3441,MIX
FETUSDT,2023,8374,1.0,1.0,1.0,1.0,1.0,0.0,8374,8373,1.0,0.1431,PERP
FETUSDT,2024,8784,1.0,1.0,1.0,1.0,1.0,0.0,8784,8784,0.9998,0.077,PERP
FETUSDT,2025,8760,1.0,1.0,1.0,1.0,1.0,0.0,8760,8760,1.0,0.0656,PERP
FETUSDT,2026,4297,1.0,1.0,1.0,1.0,1.0,0.0,4297,4297,0.9998,0.0691,PERP
FILUSDT,2021,8760,1.0,1.0,1.0,1.0,1.0,0.0,8760,8747,1.0,0.0719,PERP
FILUSDT,2022,8760,1.0,1.0,1.0,1.0,1.0,0.0,8640,8760,1.0,0.0795,PERP
FILUSDT,2023,8760,1.0,1.0,1.0,1.0,1.0,0.0,8760,8759,1.0,0.0621,PERP
FILUSDT,2024,8784,1.0,1.0,1.0,1.0,1.0,0.0,8784,8784,0.9998,0.0812,PERP
FILUSDT,2025,8760,1.0,1.0,1.0,1.0,1.0,0.0,8760,8760,1.0,0.1723,PERP
FILUSDT,2026,4296,1.0,1.0,1.0,1.0,1.0,0.0,4296,4296,0.9998,0.2055,PERP
GRTUSDT,2021,8760,1.0,1.0,1.0,1.0,1.0,0.0,8760,8747,1.0,0.0386,PERP
GRTUSDT,2022,8760,1.0,1.0,1.0,1.0,1.0,0.0,8640,8760,1.0,0.0632,PERP
GRTUSDT,2023,8760,1.0,1.0,1.0,1.0,1.0,0.0,8760,8759,1.0,0.0822,PERP
GRTUSDT,2024,8784,1.0,1.0,1.0,1.0,1.0,0.0,8784,8784,0.9998,0.0544,PERP
GRTUSDT,2025,8760,1.0,1.0,1.0,1.0,1.0,0.0,8760,8760,1.0,0.0562,PERP
GRTUSDT,2026,4297,1.0,1.0,1.0,1.0,1.0,0.0,4297,4297,0.9998,0.0112,PERP
HBARUSDT,2021,6953,1.0,1.0,1.0,1.0,1.0,0.0,6953,6942,1.0,0.051,PERP
HBARUSDT,2022,8760,1.0,1.0,1.0,1.0,1.0,0.0,8640,8760,1.0,0.0731,PERP
HBARUSDT,2023,8760,1.0,1.0,1.0,1.0,1.0,0.0,8760,8759,1.0,0.0595,PERP
HBARUSDT,2024,8784,1.0,1.0,1.0,1.0,1.0,0.0,8784,8784,0.9998,0.061,PERP
HBARUSDT,2025,8760,1.0,1.0,1.0,1.0,1.0,0.0,8760,8760,1.0,0.0301,PERP
HBARUSDT,2026,4298,1.0,1.0,1.0,1.0,1.0,0.0,4298,4298,0.9998,0.0002,PERP
ICPUSDT,2022,2302,1.0,1.0,1.0,1.0,1.0,0.0,2302,2302,1.0,0.0608,PERP
ICPUSDT,2023,8760,1.0,1.0,1.0,1.0,1.0,0.0,8760,8759,1.0,0.0879,PERP
ICPUSDT,2024,8784,1.0,1.0,1.0,1.0,1.0,0.0,8784,8784,0.9998,0.0502,PERP
ICPUSDT,2025,8760,1.0,1.0,1.0,1.0,1.0,0.0,8760,8760,1.0,0.0346,PERP
ICPUSDT,2026,4298,1.0,1.0,1.0,1.0,1.0,0.0,4298,4298,0.9998,0.024,PERP
IMXUSDT,2022,7773,1.0,1.0,1.0,1.0,1.0,0.0,7653,7773,1.0,0.0582,PERP
IMXUSDT,2023,8760,1.0,1.0,1.0,1.0,1.0,0.0,8760,8759,1.0,0.0587,PERP
IMXUSDT,2024,8784,1.0,1.0,1.0,1.0,1.0,0.0,8784,8784,0.9998,0.07,PERP
IMXUSDT,2025,8760,1.0,1.0,1.0,1.0,1.0,0.0,8760,8760,1.0,0.0679,PERP
IMXUSDT,2026,4297,1.0,1.0,1.0,1.0,1.0,0.0,4297,4297,0.9998,0.0375,PERP
INJUSDT,2022,3286,1.0,1.0,1.0,1.0,1.0,0.0,3286,3286,1.0,0.1887,PERP
INJUSDT,2023,8760,1.0,1.0,1.0,1.0,1.0,0.0,8760,8759,1.0,0.0666,PERP
INJUSDT,2024,8784,1.0,1.0,1.0,1.0,1.0,0.0,8784,8784,0.9998,0.0743,PERP
INJUSDT,2025,8760,1.0,1.0,1.0,1.0,1.0,0.0,8760,8760,1.0,0.1006,PERP
INJUSDT,2026,4295,1.0,1.0,1.0,1.0,1.0,0.0,4295,4295,0.9998,0.0221,PERP
JUPUSDT,2024,8046,1.0,1.0,1.0,1.0,1.0,0.0,8046,8046,0.9998,0.0425,PERP
JUPUSDT,2025,8760,1.0,1.0,1.0,1.0,1.0,0.0,8760,8760,1.0,0.0386,PERP
JUPUSDT,2026,4298,1.0,1.0,1.0,1.0,1.0,0.0,4298,4298,0.9998,0.0526,PERP
LDOUSDT,2022,2412,1.0,1.0,1.0,1.0,1.0,0.0,2412,2412,1.0,0.1248,PERP
LDOUSDT,2023,8760,1.0,1.0,1.0,1.0,1.0,0.0,8760,8759,1.0,0.0912,PERP
LDOUSDT,2024,8784,1.0,1.0,1.0,1.0,1.0,0.0,8784,8784,0.9998,0.086,PERP
LDOUSDT,2025,8760,1.0,1.0,1.0,1.0,1.0,0.0,8760,8760,1.0,0.0635,PERP
LDOUSDT,2026,4298,1.0,1.0,1.0,1.0,1.0,0.0,4298,4298,0.9998,0.0079,PERP
LINKUSDT,2020,8392,0.0,1.0,0.0001,0.0,0.0,0.0,8392,8375,1.0,0.0648,PERP
LINKUSDT,2021,8760,0.0,1.0,0.0,0.0,0.0,0.0,8760,8747,1.0,0.0703,PERP
LINKUSDT,2022,8760,0.0,1.0,0.0,0.0,0.0,0.0,8760,8760,1.0,0.0561,PERP
LINKUSDT,2023,8760,0.0,1.0,0.0,0.0,0.0,0.0,8760,8759,1.0,0.0489,PERP
LINKUSDT,2024,8784,0.0,1.0,0.0,0.0,0.0,0.0,8784,8784,1.0,0.0984,PERP
LINKUSDT,2025,8760,0.0,1.0,0.0,0.0,0.0,0.0,8760,8760,1.0,0.1175,PERP
LINKUSDT,2026,5887,0.0,1.0,0.0,0.0,0.0,0.0,5088,5088,0.6559,0.3872,MIX
LTCUSDT,2021,8760,1.0,1.0,1.0,1.0,1.0,0.0,8760,8747,1.0,0.0627,PERP
LTCUSDT,2022,8760,1.0,1.0,1.0,1.0,1.0,0.0,8640,8760,1.0,0.0508,PERP
LTCUSDT,2023,8760,1.0,1.0,1.0,1.0,1.0,0.0,8760,8759,1.0,0.0358,PERP
LTCUSDT,2024,8784,1.0,1.0,1.0,1.0,1.0,0.0,8784,8784,0.9998,0.0429,PERP
LTCUSDT,2025,8760,1.0,1.0,1.0,1.0,1.0,0.0,8760,8760,1.0,0.0336,PERP
LTCUSDT,2026,4295,1.0,1.0,1.0,1.0,1.0,0.0,4295,4295,0.9998,0.0,PERP
MANAUSDT,2021,7001,1.0,1.0,1.0,1.0,1.0,0.0,7001,6990,1.0,0.0448,PERP
MANAUSDT,2022,8760,1.0,1.0,1.0,1.0,1.0,0.0,8640,8760,1.0,0.0541,PERP
MANAUSDT,2023,8760,1.0,1.0,1.0,1.0,1.0,0.0,8760,8759,1.0,0.0554,PERP
MANAUSDT,2024,8784,1.0,1.0,1.0,1.0,1.0,0.0,8784,8784,0.9998,0.0821,PERP
MANAUSDT,2025,8760,1.0,1.0,1.0,1.0,1.0,0.0,8760,8760,1.0,0.0686,PERP
MANAUSDT,2026,4299,1.0,1.0,1.0,1.0,1.0,0.0,4299,4299,0.9998,0.1596,PERP
MKRUSDT,2021,8760,1.0,1.0,1.0,1.0,1.0,0.0,8760,8747,1.0,0.0525,PERP
MKRUSDT,2022,8760,1.0,1.0,1.0,1.0,1.0,0.0,8640,8760,1.0,0.055,PERP
MKRUSDT,2023,8760,1.0,1.0,1.0,1.0,1.0,0.0,8760,8759,1.0,0.0776,PERP
MKRUSDT,2024,8784,1.0,1.0,1.0,1.0,1.0,0.0,8784,8784,0.9998,0.0758,PERP
MKRUSDT,2025,8760,1.0,1.0,0.686,1.0,1.0,0.314,8760,6171,1.0,0.0638,PERP
MKRUSDT,2026,4296,,,0.0,1.0,1.0,1.0,4296,0,1.0,,PERP
NEARUSDT,2021,8760,1.0,1.0,1.0,1.0,1.0,0.0,8760,8747,1.0,0.0393,PERP
NEARUSDT,2022,8760,1.0,1.0,1.0,1.0,1.0,0.0,8640,8760,1.0,0.0737,PERP
NEARUSDT,2023,8760,1.0,1.0,1.0,1.0,1.0,0.0,8760,8759,1.0,0.2184,PERP
NEARUSDT,2024,8784,1.0,1.0,1.0,1.0,1.0,0.0,8784,8784,0.9998,0.0636,PERP
NEARUSDT,2025,8760,1.0,1.0,1.0,1.0,1.0,0.0,8760,8760,1.0,0.129,PERP
NEARUSDT,2026,4295,1.0,1.0,1.0,1.0,1.0,0.0,4295,4295,0.9998,0.1963,PERP
OPUSDT,2022,5122,1.0,1.0,1.0,1.0,1.0,0.0,5122,5122,1.0,0.0838,PERP
OPUSDT,2023,8760,1.0,1.0,1.0,1.0,1.0,0.0,8760,8759,1.0,0.0864,PERP
OPUSDT,2024,8784,1.0,1.0,1.0,1.0,1.0,0.0,8784,8784,0.9998,0.0894,PERP
OPUSDT,2025,8760,1.0,1.0,1.0,1.0,1.0,0.0,8760,8760,1.0,0.0854,PERP
OPUSDT,2026,4295,1.0,1.0,1.0,1.0,1.0,0.0,4295,4295,0.9998,0.1912,PERP
ORDIUSDT,2023,1308,1.0,1.0,1.0,1.0,1.0,0.0,1308,1308,1.0,0.0558,PERP
ORDIUSDT,2024,8784,1.0,1.0,1.0,1.0,1.0,0.0,8784,8784,0.9998,0.0889,PERP
ORDIUSDT,2025,8760,1.0,1.0,1.0,1.0,1.0,0.0,8760,8760,1.0,0.0624,PERP
ORDIUSDT,2026,4297,1.0,1.0,1.0,1.0,1.0,0.0,4297,4297,0.9998,0.0261,PERP
PENDLEUSDT,2023,3766,1.0,1.0,1.0,1.0,1.0,0.0,3766,3766,1.0,0.0552,PERP
PENDLEUSDT,2024,8784,1.0,1.0,1.0,1.0,1.0,0.0,8784,8784,0.9998,0.0644,PERP
PENDLEUSDT,2025,8760,1.0,1.0,1.0,1.0,1.0,0.0,8760,8760,1.0,0.0643,PERP
PENDLEUSDT,2026,4298,1.0,1.0,1.0,1.0,1.0,0.0,4298,4298,0.9998,0.0535,PERP
PEPEUSDT,2023,5768,1.0,1.0,1.0,1.0,1.0,0.0,5768,0,1.0,,PERP
PEPEUSDT,2024,8784,1.0,1.0,1.0,1.0,1.0,0.0,8784,0,0.9998,,PERP
PEPEUSDT,2025,8760,1.0,1.0,1.0,1.0,1.0,0.0,8760,0,1.0,,PERP
PEPEUSDT,2026,4297,1.0,1.0,1.0,1.0,1.0,0.0,4297,0,0.9998,,PERP
PYTHUSDT,2023,946,1.0,1.0,1.0,1.0,1.0,0.0,0,0,,,NO_V2_REF
PYTHUSDT,2024,8784,1.0,1.0,1.0,1.0,1.0,0.0,0,0,,,NO_V2_REF
PYTHUSDT,2025,8760,1.0,1.0,1.0,1.0,1.0,0.0,0,0,,,NO_V2_REF
PYTHUSDT,2026,4298,1.0,1.0,1.0,1.0,1.0,0.0,0,0,,,NO_V2_REF
RNDRUSDT,2023,7966,1.0,1.0,1.0,1.0,1.0,0.0,0,0,,,NO_V2_REF
RNDRUSDT,2024,5071,1.0,1.0,0.9341,1.0,1.0,0.0659,0,0,,,NO_V2_REF
RUNEUSDT,2021,8760,1.0,1.0,1.0,1.0,1.0,0.0,8760,8747,1.0,0.052,PERP
RUNEUSDT,2022,8760,1.0,1.0,1.0,1.0,1.0,0.0,8760,8760,1.0,0.1553,PERP
RUNEUSDT,2023,8760,1.0,1.0,1.0,1.0,1.0,0.0,8760,8759,1.0,0.2328,PERP
RUNEUSDT,2024,8784,1.0,1.0,1.0,1.0,1.0,0.0,8784,8784,0.9998,0.0696,PERP
RUNEUSDT,2025,8760,1.0,1.0,1.0,1.0,1.0,0.0,8760,8760,1.0,0.2358,PERP
RUNEUSDT,2026,4297,1.0,1.0,1.0,1.0,1.0,0.0,4297,4297,0.9998,0.0566,PERP
