symbol,source,year,n_hours,close_med_abs_dev_bps,close_p99_abs_dev_bps,frac_close_dev_gt_1bp,vol_med_abs_rel_dev,ntr_enriched_zero_rate,tbb_eq_half_vol_rate,tbq_eq_half_qav_rate,tbb_med_abs_rel_dev_vs_v2
DOTUSDT,perp,2024,8784,0.0,0.0,0.0002,0.0,1.0,1.0,1.0,0.0583
DOTUSDT,perp,2025,8760,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0706
DOTUSDT,perp,2026,5088,0.0,23.56,0.1195,0.0,0.8441,0.8441,1.0,0.0806
DOTUSDT,spot,2021,8747,8.007,41.97,0.9479,0.8321,1.0,1.0,1.0,0.8431
DOTUSDT,spot,2022,8760,7.676,24.57,0.9521,3.4739,1.0,1.0,1.0,3.4808
DOTUSDT,spot,2023,8759,6.068,14.29,0.9579,5.7227,1.0,1.0,1.0,5.8667
DOTUSDT,spot,2024,8784,5.858,15.93,0.9506,3.8797,1.0,1.0,1.0,4.0459
DOTUSDT,spot,2025,8760,5.431,15.23,0.9271,5.0871,1.0,1.0,1.0,5.3218
DOTUSDT,spot,2026,5088,7.701,27.9,0.6846,8.2547,0.8441,0.8441,1.0,8.5407
ETHUSDT,perp,2020,8784,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0728
ETHUSDT,perp,2021,8760,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0434
ETHUSDT,perp,2022,8760,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0486
ETHUSDT,perp,2023,8760,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.056
ETHUSDT,perp,2024,8784,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0568
ETHUSDT,perp,2025,8760,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.058
ETHUSDT,perp,2026,5088,0.0,6.53,0.3443,0.0,0.0,0.6559,1.0,0.1032
ETHUSDT,spot,2019,787,4.03,21.27,0.9072,0.6287,0.0013,1.0,1.0,0.6694
ETHUSDT,spot,2020,8767,5.537,25.0,0.8969,1.1928,0.0,1.0,1.0,1.2213
ETHUSDT,spot,2021,8747,5.953,33.64,0.9149,2.583,0.0,1.0,1.0,2.5928
ETHUSDT,spot,2022,8760,4.787,11.2,0.968,4.5979,0.0,1.0,1.0,4.6345
ETHUSDT,spot,2023,8759,4.298,9.92,0.9322,7.1323,0.0,1.0,1.0,7.2759
ETHUSDT,spot,2024,8784,4.506,12.21,0.9583,6.1166,0.0,1.0,1.0,6.1513
ETHUSDT,spot,2025,8760,4.426,6.86,0.9904,8.2825,0.0,1.0,1.0,8.4593
ETHUSDT,spot,2026,5088,4.302,7.37,0.6559,8.6104,0.0,0.6559,1.0,8.8067
LINKUSDT,perp,2020,8392,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
LINKUSDT,perp,2021,8760,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
LINKUSDT,perp,2022,8760,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
LINKUSDT,perp,2023,8760,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
LINKUSDT,perp,2024,8784,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
LINKUSDT,perp,2025,8760,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
LINKUSDT,perp,2026,5088,0.0,8.78,0.3441,0.0,0.0,0.0,1.0,0.0
LINKUSDT,spot,2020,8375,7.992,51.1,0.9352,1.4268,0.0,0.0,1.0,1.3721
LINKUSDT,spot,2021,8747,7.805,38.42,0.9297,1.6281,0.0,0.0,1.0,1.5832
LINKUSDT,spot,2022,8760,5.673,19.98,0.9439,4.1202,0.0,0.0,1.0,4.1213
LINKUSDT,spot,2023,8759,5.006,13.02,0.9511,6.6748,0.0,0.0,1.0,6.8544
LINKUSDT,spot,2024,8784,5.804,16.26,0.9016,3.5323,0.0,0.0,1.0,3.6508
LINKUSDT,spot,2025,8760,4.72,13.92,0.8825,4.6875,0.0,0.0,1.0,4.8861
LINKUSDT,spot,2026,5088,2.597,16.72,0.6128,2.9176,0.0,0.0,1.0,2.8462
