symbol,venue,start_ts,end_ts,required_data_types,reason,priority,can_backfill_free,needs_paid_provider,free_sources_available,event_id,launch_ts
TRIAUSDT,binance-futures,2026-02-06T11:45:00+00:00,2026-02-06T18:15:00+00:00,"trades,L2,bookTicker,mark,index,funding,OI",tick_l2_upgrade_optional (Vision bookDepth is 1-min snapshots; bookTicker absent for new symbols),P1,True,False,aggTrades;bookDepth;fundingRate;indexPriceKlines;markPriceKlines;metrics;premiumIndexKlines,8580bf0f45e76926710e6d66,2026-02-06T12:15:00+00:00
ESPUSDT,binance-futures,2026-02-10T07:40:00+00:00,2026-02-10T14:10:00+00:00,"trades,L2,bookTicker,mark,index,funding,OI",tick_l2_upgrade_optional (Vision bookDepth is 1-min snapshots; bookTicker absent for new symbols),P1,True,False,aggTrades;bookDepth;fundingRate;markPriceKlines;metrics;premiumIndexKlines,39e53c142c32db3562f9c32a,2026-02-10T08:10:00+00:00
AZTECUSDT,binance-futures,2026-02-11T03:59:00+00:00,2026-02-11T10:29:00+00:00,"trades,L2,bookTicker,mark,index,funding,OI",tick_l2_upgrade_optional (Vision bookDepth is 1-min snapshots; bookTicker absent for new symbols),P1,True,False,aggTrades;bookDepth;fundingRate;markPriceKlines;metrics;premiumIndexKlines,f3a8cfdbd0cf490022078019,2026-02-11T04:29:00+00:00
OPNUSDT,binance-futures,2026-02-21T14:30:00+00:00,2026-02-21T21:00:00+00:00,"trades,L2,bookTicker,mark,index,funding,OI",tick_l2_upgrade_optional (Vision bookDepth is 1-min snapshots; bookTicker absent for new symbols),P1,True,False,aggTrades;bookDepth;fundingRate;markPriceKlines;metrics;premiumIndexKlines,b58ff253b57614c58da55ec0,2026-02-21T15:00:00+00:00
ROBOUSDT,binance-futures,2026-02-27T08:15:00+00:00,2026-02-27T14:45:00+00:00,"trades,L2,bookTicker,mark,index,funding,OI",tick_l2_upgrade_optional (Vision bookDepth is 1-min snapshots; bookTicker absent for new symbols),P1,True,False,aggTrades;bookDepth;fundingRate;indexPriceKlines;markPriceKlines;metrics;premiumIndexKlines,ffe0e6ccd0ef9616e1269051,2026-02-27T08:45:00+00:00
KATUSDT,binance-futures,2026-03-02T04:30:00+00:00,2026-03-02T11:00:00+00:00,"trades,L2,bookTicker,mark,index,funding,OI",tick_l2_upgrade_optional (Vision bookDepth is 1-min snapshots; bookTicker absent for new symbols),P1,True,False,aggTrades;bookDepth;fundingRate;markPriceKlines;metrics;premiumIndexKlines,3e5ba01473f71c2c24066d67,2026-03-02T05:00:00+00:00
COPPERUSDT,binance-futures,2026-03-06T08:30:00+00:00,2026-03-06T15:00:00+00:00,"trades,L2,bookTicker,mark,index,funding,OI",tick_l2_upgrade_optional (Vision bookDepth is 1-min snapshots; bookTicker absent for new symbols),P1,True,False,aggTrades;bookDepth;fundingRate;indexPriceKlines;markPriceKlines;metrics;premiumIndexKlines,a8187d0cf993805cfd2c093e,2026-03-06T09:00:00+00:00
EDGEUSDT,binance-futures,2026-03-19T13:30:00+00:00,2026-03-19T20:00:00+00:00,"trades,L2,bookTicker,mark,index,funding,OI",tick_l2_upgrade_optional (Vision bookDepth is 1-min snapshots; bookTicker absent for new symbols),P1,True,False,aggTrades;bookDepth;fundingRate;markPriceKlines;metrics;premiumIndexKlines,552172d058d82a30ea33b8c5,2026-03-19T14:00:00+00:00
BSBUSDT,binance-futures,2026-03-25T11:15:00+00:00,2026-03-25T17:45:00+00:00,"trades,L2,bookTicker,mark,index,funding,OI",tick_l2_upgrade_optional (Vision bookDepth is 1-min snapshots; bookTicker absent for new symbols),P1,True,False,aggTrades;bookDepth;fundingRate;indexPriceKlines;markPriceKlines;metrics;premiumIndexKlines,33d1502c53913a216cd2cd0b,2026-03-25T11:45:00+00:00
BASEDUSDT,binance-futures,2026-03-30T09:30:00+00:00,2026-03-30T16:00:00+00:00,"trades,L2,bookTicker,mark,index,funding,OI",tick_l2_upgrade_optional (Vision bookDepth is 1-min snapshots; bookTicker absent for new symbols),P1,True,False,aggTrades;bookDepth;fundingRate;indexPriceKlines;markPriceKlines;metrics;premiumIndexKlines,26ab833409026c6833e35671,2026-03-30T10:00:00+00:00
BZUSDT,binance-futures,2026-04-01T08:40:00+00:00,2026-04-01T15:10:00+00:00,"trades,L2,bookTicker,mark,index,funding,OI",tick_l2_upgrade_optional (Vision bookDepth is 1-min snapshots; bookTicker absent for new symbols),P1,True,False,aggTrades;bookDepth;fundingRate;indexPriceKlines;markPriceKlines;metrics;premiumIndexKlines,2db85afffb39035b368afd91,2026-04-01T09:10:00+00:00
PRLUSDT,binance-futures,2026-04-01T10:00:00+00:00,2026-04-01T16:30:00+00:00,"trades,L2,bookTicker,mark,index,funding,OI",tick_l2_upgrade_optional (Vision bookDepth is 1-min snapshots; bookTicker absent for new symbols),P1,True,False,aggTrades;bookDepth;fundingRate;indexPriceKlines;markPriceKlines;metrics;premiumIndexKlines,522a952ef9eba0157e549954,2026-04-01T10:30:00+00:00
GENIUSUSDT,binance-futures,2026-04-16T03:00:00+00:00,2026-04-16T09:30:00+00:00,"trades,L2,bookTicker,mark,index,funding,OI",tick_l2_upgrade_optional (Vision bookDepth is 1-min snapshots; bookTicker absent for new symbols),P1,True,False,aggTrades;bookDepth;fundingRate;indexPriceKlines;markPriceKlines;metrics;premiumIndexKlines,6c0f1dc85db6d011c883ed91,2026-04-16T03:30:00+00:00
